yr,mn,temp,precip,rh
1972,1,-27.6,1.7,78
1972,2,-22.8,0.5,70
1972,3,-10.1,6.7,56
1972,4,0.5,9.6,48
1972,5,7.7,12.3,46
1972,6,12.8,66.8,66
1972,7,15.8,183.4,83
1972,8,13.1,95.4,78
1972,9,7.9,80.9,78
1972,10,-3,27.5,73
1972,11,-18.6,10.4,76
1972,12,-25.4,5.9,77
1973,1,-28,0.3,77
1973,2,-21.2,2.3,67
1973,3,-12.6,11.6,64
1973,4,-2.2,41.5,57
1973,5,7.9,43.7,59
1973,6,17,16.5,63
1973,7,19.3,166.5,76
1973,8,13.6,93.7,83
1973,9,9.5,19.8,67
1973,10,-3.1,6.1,57
1973,11,-14.4,17,68
1973,12,-23.1,1.8,73
1974,1,-27.7,3.4,77
1974,2,-24.2,3.6,70
1974,3,-13.3,1.5,64
1974,4,-1.1,20.4,54
1974,5,7,53.7,57
1974,6,14.4,73.1,70
1974,7,19.8,90.2,74
1974,8,15.8,142.4,79
1974,9,8.7,35.6,78
1974,10,-3.9,11.1,66
1974,11,-17.3,11.1,72
1974,12,-27.9,3.7,76
1975,1,-25.6,3.8,79
1975,2,-23,1.9,71
1975,3,-8.3,0.6,61
1975,4,3.2,39.9,62
1975,5,10.2,47.6,57
1975,6,15.8,145.4,79
1975,7,16.5,199.9,84
1975,8,15.4,66.3,76
1975,9,6.8,41.7,70
1975,10,-1.5,26.8,65
1975,11,-12.3,6,76
1975,12,-22.9,4.1,75
1976,1,-23.3,7.1,74
1976,2,-22.8,2.5,70
1976,3,-13.8,8.5,61
1976,4,-0.4,29.2,61
1976,5,8.4,44.2,59
1976,6,12.7,117.3,73
1976,7,17.3,119.9,83
1976,8,13.1,57.5,86
1976,9,8.4,31.3,79
1976,10,-3.5,9,59
1976,11,-18.8,3,81
1976,12,-28.7,5,88
1977,1,-30.5,0.2,83
1977,2,-25.3,5.2,75
1977,3,-11.8,5.8,68
1977,4,-1.2,17.5,46
1977,5,10.2,26.9,53
1977,6,15.2,57.9,72
1977,7,17.9,220,78
1977,8,14.6,99.3,83
1977,9,7.2,51.8,67
1977,10,-1.7,6.6,58
1977,11,-15.3,4.4,71
1977,12,-25.4,4.8,74
1978,1,-27,2.6,70
1978,2,-23.2,1.2,64
1978,3,-12.4,8.5,57
1978,4,1.1,42,58
1978,5,8.6,17.3,43
1978,6,15.2,118.2,71
1978,7,16.1,181,77
1978,8,14.4,105.5,81
1978,9,7.6,75.5,73
1978,10,-2.5,9.9,61
1978,11,-11.7,5.8,70
1978,12,-23.2,1,70
1979,1,-28,3.4,70
1979,2,-21.9,5.3,65
1979,3,-11.9,6.2,63
1979,4,-0.4,15,58
1979,5,10.5,20.9,48
1979,6,15.6,89.2,70
1979,7,17.4,57,70
1979,8,13.8,75.4,77
1979,9,7.2,98.1,75
1979,10,-2.7,11.4,57
1979,11,-19.1,12.1,67
1979,12,-23.3,4.4,73
1980,1,-29.2,3.4,66
1980,2,-20.3,0.5,60
1980,3,-13.9,2.7,59
1980,4,-4.1,46.6,65
1980,5,7.1,22.4,54
1980,6,16,93.1,67
1980,7,18.7,141.1,83
1980,8,16.1,164.6,82
1980,9,7.3,71.9,79
1980,10,-3.5,11,71
1980,11,-13.3,10.8,76
1980,12,-25.1,8.9,75
1981,1,-23.3,0.2,70
1981,2,-22.8,0.6,72
1981,3,-12.4,6.5,67
1981,4,2.5,12.3,50
1981,5,8.2,21.4,59
1981,6,13.7,113.1,76
1981,7,18.6,168,81
1981,8,13.7,139.5,85
1981,9,6.7,11.4,72
1981,10,-2.3,9.8,67
1981,11,-18.5,1,69
1981,12,-21.7,1.5,73
1982,1,-24.9,5.1,70
1982,2,-19.3,0.7,66
1982,3,-12.9,3,58
1982,4,2.8,32.7,54
1982,5,8,81.9,60
1982,6,15.8,32.7,62
1982,7,18.3,147.8,82
1982,8,15.8,181,84
1982,9,6.6,77,79
1982,10,-4.1,25.5,71
1982,11,-15.5,5.9,76
1982,12,-22.6,4.2,79
1983,1,-21.9,3.5,74
1983,2,-23.7,0.2,71
1983,3,-7.9,4.6,62
1983,4,-0.8,50.3,61
1983,5,8.5,45.7,57
